date,pe_ratio
2025-04-30,113.45045566558838
2025-01-31,134.88833823900544
2024-10-31,163.8634952498071
2024-07-31,172.03387092141543
2024-04-30,141.12356597302008
2024-01-31,119.18532940768456
2023-10-31,101.38875097777712
2023-07-31,172.96392652723523
2023-04-30,254.39509120556193
2023-01-31,221.81419892744586
2022-10-31,232.4407511744006
2022-07-31,355.6242924110562
2022-04-30,136.14977107328525
2022-01-31,185.16211076216263
2021-10-31,218.09659452519864
2021-07-31,187.09301948547363
2021-04-30,163.65302455881255
2021-01-31,167.1583975515058
2020-10-31,171.18574168584118
2020-07-31,192.3614501953125
2020-04-30,161.770502726237
2020-01-31,124.42122050117992
2019-10-31,111.11159854465062
2019-07-31,135.24081630091513
2019-04-30,204.20364900068805
2019-01-31,178.21245193481445
2018-10-31,113.52736016978389
2018-07-31,123.71154707305286
2018-04-30,109.10362355849323
2018-01-31,155.8358363616161
2017-10-31,154.8481999021588
2017-07-31,174.42891908728558
2017-04-30,128.60664129257202
2017-01-31,107.56339073181152
2016-10-31,83.33514985584077
2016-07-31,140.16774892807007
2016-04-30,108.74040424823761
2016-01-31,79.39320140414769
2015-10-31,62.67971342260188
2015-07-31,120.70350348949432
2015-04-30,89.13186192512512
2015-01-31,51.19423071543376
2014-10-31,58.36638808250427
2014-07-31,69.39019759496053
2014-04-30,72.90063798427582
2014-01-31,61.688964565594986
2013-10-31,71.236252784729
2013-07-31,84.22408252954483
2013-04-30,71.03136512968275
2013-01-31,40.40775980268206
2012-10-31,34.32783484458923
2012-07-31,51.730538407961525
2012-04-30,99.33484594027202
2012-01-31,67.71581768989563
2011-10-31,48.46669094903128
2011-07-31,52.83851424853007
2011-04-30,76.41143600145976
2011-01-31,91.38805667559306
2010-10-31,68.88492405414581
2010-07-31,210.66632866859436
2010-04-30,60.02118686834971
2010-01-31,58.79861116409302
2009-10-31,54.83286380767822
2009-07-31,148.20000529289246
2009-04-30,-131.58048689365387
2009-01-31,-45.560311526060104
2008-10-31,40.16185402870178
2008-07-31,87.41466204325359
2008-04-30,52.34183536635505
2008-01-31,46.973928809165955
2007-10-31,73.730084029111
2007-07-31,77.70195272233752
2007-04-30,71.80493218558175
2007-01-31,52.04464660750495
2006-10-31,76.12764835357666
2006-07-31,89.03941825816506
2006-04-30,89.30968046188354
2006-01-31,85.88650077581406
2005-10-31,64.09001350402832
2005-07-31,68.92310082912445
2005-04-30,27.92838215827942
2005-01-31,58.378333846728005
2004-10-31,55.283527821302414
2004-07-31,58.913227170705795
2004-04-30,78.39812338352203
2004-01-31,56.671922405560814
2003-10-31,135.09505987167358
2003-07-31,145.86910605430603
2003-04-30,109.49789732694626
2003-01-31,78.85660231113434
2002-10-31,90.92990309000015
2002-07-31,84.58743989467621
2002-04-30,66.49694591760635
2002-01-31,125.58212876319885
2001-10-31,163.74988853931427
2001-07-31,154.5419991016388
2001-04-30,159.12668406963348
2001-01-31,197.2368061542511
2000-10-31,237.4124675989151
2000-07-31,229.23427820205688
2000-04-30,170.2541708946228
2000-01-31,70.80037146806717
1999-10-31,42.26530343294144
1999-07-31,19.222211092710495
1999-04-30,17.431437969207764
